                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70546,                0.53571,                0.89137,                 1.5037,             0.00023764,             0.00023764,             0.00023764
                      2,                0.32446,                0.74345,                0.97173,                 1.3782,             0.00046623,             0.00046623,             0.00046623
                      3,                0.22824,                0.81042,                0.98512,                 1.3296,             0.00068538,             0.00068538,             0.00068538
                      4,                0.17873,                 0.8506,                0.99196,                 1.3047,             0.00067159,             0.00067159,             0.00067159
                      5,                0.13838,                0.87113,                0.99137,                 1.2968,             0.00067159,             0.00067159,             0.00067159
                      6,                 0.1213,                  0.875,                0.99226,                 1.2874,             0.00065745,             0.00065745,             0.00065745
                      7,                0.09357,                0.89077,                0.99464,                 1.2761,             0.00064331,             0.00064331,             0.00064331
                      8,                0.08247,                0.89494,                0.99494,                 1.2733,             0.00062918,             0.00062918,             0.00062918
                      9,                 0.0745,                0.90506,                0.99583,                 1.2608,             0.00061504,             0.00061504,             0.00061504
                     10,                0.06738,                0.90417,                0.99405,                  1.265,              0.0006009,              0.0006009,              0.0006009
                     11,                0.06408,                0.90625,                0.99554,                 1.2627,             0.00058677,             0.00058677,             0.00058677
                     12,                0.05232,                 0.9131,                0.99583,                 1.2569,             0.00057263,             0.00057263,             0.00057263
                     13,                0.04576,                0.90506,                0.99524,                 1.2568,             0.00055849,             0.00055849,             0.00055849
                     14,                0.04434,                 0.9131,                0.99554,                 1.2535,             0.00054435,             0.00054435,             0.00054435
                     15,                0.04326,                 0.9125,                0.99613,                 1.2532,             0.00053022,             0.00053022,             0.00053022
                     16,                0.03815,                0.90833,                0.99226,                 1.2545,             0.00051608,             0.00051608,             0.00051608
                     17,                0.03602,                0.90655,                0.99702,                 1.2552,             0.00050194,             0.00050194,             0.00050194
                     18,                0.03068,                0.91577,                0.99494,                 1.2499,              0.0004878,              0.0004878,              0.0004878
                     19,                0.03033,                0.92113,                0.99643,                  1.245,             0.00047367,             0.00047367,             0.00047367
                     20,                0.03175,                0.92708,                0.99524,                 1.2441,             0.00045953,             0.00045953,             0.00045953
                     21,                0.02934,                0.91935,                0.99613,                 1.2461,             0.00044539,             0.00044539,             0.00044539
                     22,                0.02396,                0.92173,                0.99673,                 1.2436,             0.00043126,             0.00043126,             0.00043126
                     23,                0.02183,                0.92292,                0.99464,                 1.2434,             0.00041712,             0.00041712,             0.00041712
                     24,                0.02189,                0.92679,                0.99464,                 1.2423,             0.00040298,             0.00040298,             0.00040298
                     25,                0.01755,                0.92857,                0.99554,                 1.2393,             0.00038884,             0.00038884,             0.00038884
                     26,                0.01466,                0.92589,                0.99524,                 1.2395,             0.00037471,             0.00037471,             0.00037471
                     27,                0.01386,                 0.9244,                0.99524,                 1.2397,             0.00036057,             0.00036057,             0.00036057
                     28,                0.01614,                 0.9244,                0.99524,                 1.2398,             0.00034643,             0.00034643,             0.00034643
                     29,                0.01577,                 0.9253,                0.99643,                 1.2397,              0.0003323,              0.0003323,              0.0003323
                     30,                0.01085,                0.92976,                0.99583,                 1.2376,             0.00031816,             0.00031816,             0.00031816
                     31,                0.01151,                0.93482,                0.99673,                 1.2356,             0.00030402,             0.00030402,             0.00030402
                     32,                0.00882,                0.93423,                0.99732,                 1.2351,             0.00028988,             0.00028988,             0.00028988
                     33,                0.00886,                0.93274,                0.99702,                 1.2356,             0.00027575,             0.00027575,             0.00027575
                     34,                0.00812,                 0.9369,                0.99643,                 1.2341,             0.00026161,             0.00026161,             0.00026161
                     35,                0.00722,                 0.9378,                0.99613,                 1.2335,             0.00024747,             0.00024747,             0.00024747
                     36,                0.00851,                0.93899,                0.99673,                 1.2333,             0.00023334,             0.00023334,             0.00023334
                     37,                0.00803,                 0.9375,                0.99762,                 1.2342,              0.0002192,              0.0002192,              0.0002192
                     38,                0.00524,                0.93512,                0.99732,                 1.2338,             0.00020506,             0.00020506,             0.00020506
                     39,                0.00548,                0.93661,                0.99643,                 1.2333,             0.00019092,             0.00019092,             0.00019092
                     40,                0.00605,                0.93542,                0.99732,                 1.2341,             0.00017679,             0.00017679,             0.00017679
                     41,                0.00637,                0.93333,                0.99643,                 1.2352,             0.00016265,             0.00016265,             0.00016265
                     42,                0.00424,                0.93274,                0.99583,                 1.2344,             0.00014851,             0.00014851,             0.00014851
                     43,                0.00443,                0.93393,                0.99643,                 1.2336,             0.00013437,             0.00013437,             0.00013437
                     44,                0.00321,                 0.9372,                0.99613,                  1.231,             0.00012024,             0.00012024,             0.00012024
                     45,                0.00313,                 0.9375,                0.99673,                 1.2315,              0.0001061,              0.0001061,              0.0001061
                     46,                0.00275,                0.93631,                0.99613,                 1.2316,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.00245,                 0.9372,                0.99673,                 1.2312,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.00214,                0.93601,                0.99702,                 1.2311,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.00274,                0.93601,                0.99673,                 1.2312,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.00209,                0.93661,                0.99613,                 1.2309,             3.5414e-05,             3.5414e-05,             3.5414e-05
